港•澳•台,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1668336354&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰中文,http://61.221.81.93:8078/hls/21/80/phoenixch.m3u8
凤凰中文,http://162.19.247.76:22222/live/fenghuangweishi/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1668336154&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
凤凰资讯,http://61.221.81.93:8078/hls/20/80/phoenixif.m3u8
凤凰资讯,http://198.16.100.90:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e
凤凰资讯,http://162.19.247.76:22222/live/fenghuangzhixun/index.m3u8
凤凰香港,http://66.181.39.224/ml.php?id=hkphoenix_twn
凤凰香港,http://113.117.74.12:8081/hls/38/index.m3u8
凤凰电影,http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8 
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0 
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=MA3A7166615971666159&ct=19226&tsum=abeff4c5d0d1ad10147a21ebc6cc5182
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://113.117.74.12:8081/hls/25/index.m3u8
翡翠台,http://66.181.39.224/ml.php?id=jade_twn
翡翠台,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=MDAD1890217018902170&ct=19249&tsum=36346362d72a1e85802fa5d3eee3861c
明珠台,http://113.117.74.12:8081/hls/26/index.m3u8
明珠台,http://198.16.100.90:8278/pearl_twn/playlist.m3u8?tid=MC6C7041327570413275&ct=19226&tsum=681972baf66d69caf7cccc92a90e5aad
TVB星河,http://113.117.74.12:8081/hls/135/index.m3u8
星空卫视,http://113.117.74.12:8081/hls/87/index.m3u8
功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
无线新闻海外,http://103.45.68.47:666/gy/gy937/TVB.php?id=4
J2,http://103.45.68.47:666/gy/gy937/xsj.php?id=j2
澳门莲花,http://103.45.68.47:666/gy/gy937/xsj.php?id=lotustv
澳门资讯,http://103.45.68.47:666/gy/gy937/xsj.php?id=amzx
星卫电影,http://103.45.68.47:666/gy/gy937/xsj.php?id=star-movies
纬来电影,http://103.45.68.47:666/gy/gy937/xsj.php?id=videoland-movie
东森电影,http://103.45.68.47:666/gy/gy937/xsj.php?id=ebc-movie
卫视电影,http://103.45.68.47:666/gy/gy937/xsj.php?id=star-chinese-movies
龙华电影,http://103.45.68.47:666/gy/gy937/xsj.php?id=ltv-movies
好莱坞电影,http://103.45.68.47:666/gy/gy937/xsj.php?id=hollywood-tw
靖天电影,http://103.45.68.47:666/gy/gy937/xsj.php?id=jtdy
美亚电影,http://103.45.68.47:666/gy/gy937/xsj.php?id=meiah-movies
台视,http://103.45.68.47:666/gy/gy937/xsj.php?id=ttv
国家地理,http://103.45.68.47:666/gy/gy937/xsj.php?id=natgeo
国家地理野生,http://103.45.68.47:666/gy/gy937/xsj.php?id=natgeo-wild
探索科学,http://103.45.68.47:666/gy/gy937/xsj.php?id=discovery-sci
美食星球,http://103.45.68.47:666/gy/gy937/xsj.php?id=food-planet
TLC旅游生活,http://103.45.68.47:666/gy/gy937/xsj.php?id=tlc
EYE旅游,http://103.45.68.47:666/gy/gy937/xsj.php?id=eye-travel
HBO,http://103.45.68.47:666/gy/gy937/xsj.php?id=hbo-hd
HBO Hits,http://103.45.68.47:666/gy/gy937/xsj.php?id=hbo-hits-hd
TVBS新闻,http://103.45.68.47:666/gy/gy937/yg.php?id=2mCSYvcfhtc&p=720p
中天新闻,http://103.45.68.47:666/gy/gy937/yg.php?id=WPfPjbOLNfE&p=720p
中视新闻,http://103.45.68.47:666/gy/gy937/yg.php?id=TCnaIE_SAtM&p=720p
台视新闻,http://103.45.68.47:666/gy/gy937/yg.php?id=xL0ch83RAK8&p=720p
华视新闻,http://103.45.68.47:666/gy/gy937/yg.php?id=wM0g8EoUZ_E&p=720p
三立新闻,http://103.45.68.47:666/gy/gy937/yg.php?id=FoBfXvlOR6I&p=720p
民视新闻,http://103.45.68.47:666/gy/gy937/yg.php?id=ylYJSBUgaMA&p=720p
无线新闻,http://198.16.100.90:8278/inews_twn/playlist.m3u8?tid=MF7F8784108987841089&ct=19225&tsum=50d719a9ed62cc070153963585e6d9d3
无线新闻,http://198.16.100.90:8278/inews_twn/playlist.m3u8?tid=MD8D9734527497345274&ct=19249&tsum=88c5d57f9fdce89810d61e1001910a80
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8 
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
VIU6,http://50.7.238.114:8278/viusix_twn/playlist.m3u8?tid=MF0F4217630642176306&ct=19249&tsum=33becc0fe8466036420dbbb4727dc49e
VIU6,http://50.7.238.114:8278/viusix_twn/playlist.m3u8?tid=MD7D9950629799506297&ct=19234&tsum=83ba3013be3e325b775bcd348b38eab1
VIU6,http://198.16.100.90:8278/viusix_twn/playlist.m3u8?tid=MF0F4217630642176306&ct=19249&tsum=33becc0fe8466036420dbbb4727dc49e
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳亚卫视,http://107.151.203.111:2209/135/hk.php?id=aoya
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
红松5,http://64.31.55.194/hongsong/video.m3u8
新加坡中文台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡国际,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
TVBS新闻台,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8 
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
